GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-service,com.quind.ecommerce.order.infrastructure.persistence.postgres,OrderEntity,8,0,0,0,2,0,2,0,2,0
order-service,com.quind.ecommerce.order.infrastructure.persistence.postgres,OrderRepositoryAdapter,96,0,2,0,26,0,6,0,5,0
order-service,com.quind.ecommerce.order.domain.events,OrderEventType,0,54,0,0,0,6,0,1,0,1
order-service,com.quind.ecommerce.order.infrastructure.web.mapper,OrderMapper,39,0,0,0,15,0,3,0,3,0
order-service,com.quind.ecommerce.order.infrastructure.web,OrderController,51,0,0,0,17,0,5,0,5,0
order-service,com.quind.ecommerce.order.application.service,OrderCommandService,48,197,3,5,16,66,4,8,1,7
order-service,com.quind.ecommerce.order.application.service,OrderQueryService,17,0,0,0,3,0,3,0,3,0
order-service,com.quind.ecommerce.order.domain.model,Order,68,11,9,1,20,4,9,1,4,1
order-service,com.quind.ecommerce.order.domain.model,OrderStatus,0,84,0,0,0,9,0,1,0,1
order-service,com.quind.ecommerce,OrderServiceApplication,8,0,0,0,3,0,2,0,2,0
order-service,com.quind.ecommerce.order.infrastructure.persistence.mongo,OrderEventStoreAdapter,47,0,0,0,15,0,3,0,3,0
order-service,com.quind.ecommerce.order.infrastructure.messaging.kafka,PaymentEventMessage,96,0,22,0,17,0,14,0,3,0
order-service,com.quind.ecommerce.order.infrastructure.messaging.kafka,PaymentEventsKafkaListener,155,0,8,0,45,0,10,0,6,0
order-service,com.quind.ecommerce.order.infrastructure.messaging.kafka,KafkaDomainEventPublisher,74,0,4,0,18,0,6,0,4,0
